region,year,avg_tmax,avg_tmin,avg_temp,temp_status,deviation
Minas Gerais,1960,28.74,16.69,22.71,heat stress,1.71
Minas Gerais,1961,27.35,15.84,21.6,heat stress,0.6
Minas Gerais,1962,29.28,16.13,22.71,heat stress,1.71
Minas Gerais,1963,26.94,16.11,21.52,heat stress,0.52
Minas Gerais,1964,27.74,16.67,22.2,heat stress,1.2
Minas Gerais,1965,28.0,16.48,22.24,heat stress,1.24
Minas Gerais,1966,28.12,16.6,22.36,heat stress,1.36
Minas Gerais,1967,27.26,15.41,21.33,heat stress,0.33
Minas Gerais,1968,28.32,16.63,22.48,heat stress,1.48
Minas Gerais,1969,28.01,16.51,22.26,heat stress,1.26
Minas Gerais,1970,27.93,16.37,22.15,heat stress,1.15
Minas Gerais,1971,28.15,16.74,22.44,heat stress,1.44
Minas Gerais,1972,27.71,17.59,22.65,heat stress,1.65
Minas Gerais,1973,27.35,16.9,22.13,heat stress,1.13
Minas Gerais,1974,27.93,16.36,22.14,heat stress,1.14
Minas Gerais,1975,27.68,16.69,22.18,heat stress,1.18
Minas Gerais,1976,27.83,17.24,22.53,heat stress,1.53
Minas Gerais,1977,27.52,16.42,21.97,heat stress,0.97
Minas Gerais,1978,27.43,16.5,21.96,heat stress,0.96
Minas Gerais,1979,28.1,16.93,22.52,heat stress,1.52
Minas Gerais,1980,27.56,16.38,21.97,heat stress,0.97
Minas Gerais,1981,27.71,16.75,22.23,heat stress,1.23
Minas Gerais,1982,27.6,17.18,22.39,heat stress,1.39
Minas Gerais,1983,28.83,16.9,22.86,heat stress,1.86
Minas Gerais,1984,28.19,16.61,22.4,heat stress,1.4
Minas Gerais,1985,28.51,16.71,22.61,heat stress,1.61
Minas Gerais,1986,28.8,17.33,23.06,heat stress,2.06
Minas Gerais,1987,28.26,16.91,22.58,heat stress,1.58
Minas Gerais,1988,28.1,16.89,22.5,heat stress,1.5
Minas Gerais,1989,28.98,17.37,23.18,heat stress,2.18
Minas Gerais,1990,28.15,17.15,22.65,heat stress,1.65
Minas Gerais,1991,27.67,17.07,22.37,heat stress,1.37
Minas Gerais,1992,28.97,17.02,22.99,heat stress,1.99
Minas Gerais,1993,28.91,17.06,22.98,heat stress,1.98
Minas Gerais,1994,29.06,17.44,23.25,heat stress,2.25
Minas Gerais,1995,28.86,17.17,23.02,heat stress,2.02
Minas Gerais,1996,28.98,17.12,23.05,heat stress,2.05
Minas Gerais,1997,29.4,17.9,23.65,heat stress,2.65
Minas Gerais,1998,28.78,17.05,22.92,heat stress,1.92
Minas Gerais,1999,28.71,17.32,23.01,heat stress,2.01
Minas Gerais,2000,29.25,17.52,23.39,heat stress,2.39
Minas Gerais,2001,29.55,17.91,23.73,heat stress,2.73
Minas Gerais,2002,29.26,17.56,23.41,heat stress,2.41
Minas Gerais,2003,28.32,17.35,22.83,heat stress,1.83
Minas Gerais,2004,28.67,17.76,23.22,heat stress,2.22
Minas Gerais,2005,28.58,17.41,22.99,heat stress,1.99
Minas Gerais,2006,29.17,17.31,23.24,heat stress,2.24
Minas Gerais,2007,28.5,17.14,22.82,heat stress,1.82
Minas Gerais,2008,28.79,17.87,23.33,heat stress,2.33
Minas Gerais,2009,29.07,17.27,23.17,heat stress,2.17
Minas Gerais,2010,28.44,17.02,22.73,heat stress,1.73
Minas Gerais,2011,29.01,17.42,23.22,heat stress,2.22
Minas Gerais,2012,28.56,17.5,23.03,heat stress,2.03
