country,year,arabica,consumption,exports,production,robusta,dominant_bean
Brazil,1960,29800,9001,16113,29800,0,Arabica
Brazil,1961,39600,13220,17412,39600,0,Arabica
Brazil,1962,28900,6741,16872,28900,0,Arabica
Brazil,1963,23200,9520,18869,23200,0,Arabica
Brazil,1964,11000,8131,12418,11000,0,Arabica
Brazil,1965,37700,8100,16521,37700,0,Arabica
Brazil,1966,21000,8620,16421,21000,0,Arabica
Brazil,1967,24500,8750,18964,24500,0,Arabica
Brazil,1968,17000,8750,19091,17000,0,Arabica
Brazil,1969,21000,8740,19135,21000,0,Arabica
Brazil,1970,11000,8890,16037,11000,0,Arabica
Brazil,1971,24600,8829,20043,24600,0,Arabica
Brazil,1972,24500,7000,19244,24500,0,Arabica
Brazil,1973,14300,7000,17637,14300,0,Arabica
Brazil,1974,27500,7500,13351,27500,0,Arabica
Brazil,1975,22800,8000,14051,23000,200,Arabica
Brazil,1976,9000,7500,17319,9300,300,Arabica
Brazil,1977,17100,7500,7500,17500,400,Arabica
Brazil,1978,19100,8000,13700,20000,900,Arabica
Brazil,1979,20900,8000,14000,22000,1100,Arabica
Brazil,1980,20250,7975,15750,21500,1250,Arabica
Brazil,1981,31500,8000,17729,33000,1500,Arabica
Brazil,1982,15750,7600,17071,17750,2000,Arabica
Brazil,1983,28000,8000,18896,30000,2000,Arabica
Brazil,1984,25000,9500,21640,27000,2000,Arabica
Brazil,1985,30600,8800,14470,33000,2400,Arabica
Brazil,1986,10400,8000,12722,13900,3500,Arabica
Brazil,1987,34300,8000,18825,38000,3700,Arabica
Brazil,1988,21300,8000,16739,25000,3700,Arabica
Brazil,1989,22500,8000,18330,26000,3500,Arabica
Brazil,1990,26500,9000,18840,31000,4500,Arabica
Brazil,1991,24000,9000,21871,28500,4500,Arabica
Brazil,1992,19200,8500,15896,24000,4800,Arabica
Brazil,1993,24000,9400,18422,28500,4500,Arabica
Brazil,1994,24500,9700,16878,28000,3500,Arabica
Brazil,1995,14000,10500,12330,16800,2800,Arabica
Brazil,1996,22700,11000,18885,28000,5300,Arabica
Brazil,1997,19200,11500,14850,23500,4300,Arabica
Brazil,1998,30600,12500,22908,35600,5000,Arabica
Brazil,1999,25800,12800,20164,30800,5000,Arabica
Brazil,2000,26600,13100,19676,34100,7500,Arabica
Brazil,2001,24400,13700,24795,35100,10700,Arabica
Brazil,2002,41600,13500,29396,53600,12000,Arabica
Brazil,2003,23600,14400,24920,33200,9600,Arabica
Brazil,2004,34300,15500,27920,43600,9300,Arabica
Brazil,2005,26000,15915,24543,36100,10100,Arabica
Brazil,2006,36000,16720,29260,46700,10700,Arabica
Brazil,2007,27650,17390,27290,39100,11450,Arabica
Brazil,2008,40500,18030,31475,53300,12800,Arabica
Brazil,2009,33000,18760,29780,44800,11800,Arabica
Brazil,2010,41800,19420,35010,54500,12700,Arabica
Brazil,2011,34700,20025,29843,49200,14500,Arabica
Brazil,2012,42100,20110,30660,57600,15500,Arabica
Brazil,2013,41800,20210,34146,57200,15400,Arabica
Brazil,2014,37300,20420,36573,54300,17000,Arabica
Brazil,2015,36100,20855,35543,49400,13300,Arabica
Brazil,2016,45600,21625,33081,56100,10500,Arabica
Brazil,2017,39500,22420,30454,52100,12600,Arabica
Brazil,2018,49700,23200,41426,66500,16800,Arabica
Brazil,2019,42000,22994,40256,60500,18500,Arabica
Brazil,2020,49700,22280,45675,69900,20200,Arabica
Brazil,2021,36400,22340,39685,58100,21700,Arabica
Brazil,2022,39800,22450,36145,62600,22800,Arabica
Brazil,2023,44900,22160,46750,66300,21400,Arabica
Brazil,2024,44000,21970,44750,65000,21000,Arabica
Brazil,2025,38000,22280,40750,63000,25000,Arabica
Colombia,1960,7260,1030,6043,7260,0,Arabica
Colombia,1961,7571,1062,5594,7571,0,Arabica
Colombia,1962,7180,1095,6056,7180,0,Arabica
Colombia,1963,7556,1129,6313,7556,0,Arabica
Colombia,1964,8428,1164,5743,8428,0,Arabica
Colombia,1965,8200,1200,6200,8200,0,Arabica
Colombia,1966,7600,1238,5934,7600,0,Arabica
Colombia,1967,8000,1279,6696,8000,0,Arabica
Colombia,1968,7900,1301,6634,7900,0,Arabica
Colombia,1969,8450,1300,7074,8450,0,Arabica
Colombia,1970,8000,1349,6531,8000,0,Arabica
Colombia,1971,7200,1360,6687,7200,0,Arabica
Colombia,1972,8600,1370,6505,8600,0,Arabica
Colombia,1973,7800,1440,7852,7800,0,Arabica
Colombia,1974,9000,1501,7759,9000,0,Arabica
Colombia,1975,8500,1400,7823,8500,0,Arabica
Colombia,1976,9300,1400,5792,9300,0,Arabica
Colombia,1977,11050,1550,8348,11050,0,Arabica
Colombia,1978,12600,1630,11832,12600,0,Arabica
Colombia,1979,12712,1750,11942,12712,0,Arabica
Colombia,1980,13500,1825,9231,13500,0,Arabica
