year,arabica_production,production,robusta_production,avg_temp,avg_tmax,avg_tmin,temp_status,deviation,prod_change,prod_change_%,prod_direction,stress_year
1960,29800,29800,0,22.71,28.74,16.69,heat stress,1.71,,,→ flat,True
1961,39600,39600,0,21.6,27.35,15.84,heat stress,0.6,9800.0,32.9,↑ up,True
1962,28900,28900,0,22.71,29.28,16.13,heat stress,1.71,-10700.0,-27.0,↓ down,True
1963,23200,23200,0,21.52,26.94,16.11,heat stress,0.52,-5700.0,-19.7,↓ down,True
1964,11000,11000,0,22.2,27.74,16.67,heat stress,1.2,-12200.0,-52.6,↓ down,True
1965,37700,37700,0,22.24,28.0,16.48,heat stress,1.24,26700.0,242.7,↑ up,True
1966,21000,21000,0,22.36,28.12,16.6,heat stress,1.36,-16700.0,-44.3,↓ down,True
1967,24500,24500,0,21.33,27.26,15.41,heat stress,0.33,3500.0,16.7,↑ up,True
1968,17000,17000,0,22.48,28.32,16.63,heat stress,1.48,-7500.0,-30.6,↓ down,True
1969,21000,21000,0,22.26,28.01,16.51,heat stress,1.26,4000.0,23.5,↑ up,True
1970,11000,11000,0,22.15,27.93,16.37,heat stress,1.15,-10000.0,-47.6,↓ down,True
1971,24600,24600,0,22.44,28.15,16.74,heat stress,1.44,13600.0,123.6,↑ up,True
1972,24500,24500,0,22.65,27.71,17.59,heat stress,1.65,-100.0,-0.4,↓ down,True
1973,14300,14300,0,22.13,27.35,16.9,heat stress,1.13,-10200.0,-41.6,↓ down,True
1974,27500,27500,0,22.14,27.93,16.36,heat stress,1.14,13200.0,92.3,↑ up,True
1975,22800,23000,200,22.18,27.68,16.69,heat stress,1.18,-4500.0,-16.4,↓ down,True
1976,9000,9300,300,22.53,27.83,17.24,heat stress,1.53,-13700.0,-59.6,↓ down,True
1977,17100,17500,400,21.97,27.52,16.42,heat stress,0.97,8200.0,88.2,↑ up,True
1978,19100,20000,900,21.96,27.43,16.5,heat stress,0.96,2500.0,14.3,↑ up,True
1979,20900,22000,1100,22.52,28.1,16.93,heat stress,1.52,2000.0,10.0,↑ up,True
1980,20250,21500,1250,21.97,27.56,16.38,heat stress,0.97,-500.0,-2.3,↓ down,True
1981,31500,33000,1500,22.23,27.71,16.75,heat stress,1.23,11500.0,53.5,↑ up,True
1982,15750,17750,2000,22.39,27.6,17.18,heat stress,1.39,-15250.0,-46.2,↓ down,True
1983,28000,30000,2000,22.86,28.83,16.9,heat stress,1.86,12250.0,69.0,↑ up,True
1984,25000,27000,2000,22.4,28.19,16.61,heat stress,1.4,-3000.0,-10.0,↓ down,True
1985,30600,33000,2400,22.61,28.51,16.71,heat stress,1.61,6000.0,22.2,↑ up,True
1986,10400,13900,3500,23.06,28.8,17.33,heat stress,2.06,-19100.0,-57.9,↓ down,True
1987,34300,38000,3700,22.58,28.26,16.91,heat stress,1.58,24100.0,173.4,↑ up,True
1988,21300,25000,3700,22.5,28.1,16.89,heat stress,1.5,-13000.0,-34.2,↓ down,True
1989,22500,26000,3500,23.18,28.98,17.37,heat stress,2.18,1000.0,4.0,↑ up,True
1990,26500,31000,4500,22.65,28.15,17.15,heat stress,1.65,5000.0,19.2,↑ up,True
1991,24000,28500,4500,22.37,27.67,17.07,heat stress,1.37,-2500.0,-8.1,↓ down,True
1992,19200,24000,4800,22.99,28.97,17.02,heat stress,1.99,-4500.0,-15.8,↓ down,True
1993,24000,28500,4500,22.98,28.91,17.06,heat stress,1.98,4500.0,18.8,↑ up,True
1994,24500,28000,3500,23.25,29.06,17.44,heat stress,2.25,-500.0,-1.8,↓ down,True
1995,14000,16800,2800,23.02,28.86,17.17,heat stress,2.02,-11200.0,-40.0,↓ down,True
1996,22700,28000,5300,23.05,28.98,17.12,heat stress,2.05,11200.0,66.7,↑ up,True
1997,19200,23500,4300,23.65,29.4,17.9,heat stress,2.65,-4500.0,-16.1,↓ down,True
1998,30600,35600,5000,22.92,28.78,17.05,heat stress,1.92,12100.0,51.5,↑ up,True
1999,25800,30800,5000,23.01,28.71,17.32,heat stress,2.01,-4800.0,-13.5,↓ down,True
2000,26600,34100,7500,23.39,29.25,17.52,heat stress,2.39,3300.0,10.7,↑ up,True
2001,24400,35100,10700,23.73,29.55,17.91,heat stress,2.73,1000.0,2.9,↑ up,True
2002,41600,53600,12000,23.41,29.26,17.56,heat stress,2.41,18500.0,52.7,↑ up,True
2003,23600,33200,9600,22.83,28.32,17.35,heat stress,1.83,-20400.0,-38.1,↓ down,True
2004,34300,43600,9300,23.22,28.67,17.76,heat stress,2.22,10400.0,31.3,↑ up,True
2005,26000,36100,10100,22.99,28.58,17.41,heat stress,1.99,-7500.0,-17.2,↓ down,True
2006,36000,46700,10700,23.24,29.17,17.31,heat stress,2.24,10600.0,29.4,↑ up,True
2007,27650,39100,11450,22.82,28.5,17.14,heat stress,1.82,-7600.0,-16.3,↓ down,True
2008,40500,53300,12800,23.33,28.79,17.87,heat stress,2.33,14200.0,36.3,↑ up,True
2009,33000,44800,11800,23.17,29.07,17.27,heat stress,2.17,-8500.0,-15.9,↓ down,True
2010,41800,54500,12700,22.73,28.44,17.02,heat stress,1.73,9700.0,21.7,↑ up,True
